,avg_modal_price,avg_min_price,avg_max_price,month,year,date,district_name,commodity_name,state_name
355,2290.5,2178.0,2444.5,7,2023,12,981,30501,30501
356,2287.5,2163.0,2425.0,7,2023,11,981,30501,30501
357,2350.5,2050.0,2586.5,7,2023,10,981,30501,30501
358,2189.0,2000.0,2400.0,7,2023,8,981,30501,30501
359,2223.0,2138.0,2487.5,7,2023,7,981,30501,30501
360,2292.0,2292.0,2306.0,7,2023,6,981,30501,30501
361,2137.5,2112.5,2162.5,7,2023,5,981,30501,30501
362,2259.67,2193.33,2432.67,7,2023,4,981,30501,30501
363,2411.0,2295.0,2500.0,7,2023,3,981,30501,30501
364,2200.0,2015.0,2325.0,6,2023,30,981,30501,30501
365,2385.0,2212.5,2482.5,6,2023,28,981,30501,30501
366,2431.0,2155.5,2536.0,6,2023,27,981,30501,30501
367,2233.5,2125.5,2367.5,6,2023,26,981,30501,30501
368,2045.0,2000.0,2200.0,6,2023,24,981,30501,30501
369,2199.67,2116.67,2346.33,6,2023,23,981,30501,30501
370,3152.5,3035.0,3250.0,6,2023,22,981,30501,30501
371,2289.0,2239.33,2414.0,6,2023,21,981,30501,30501
372,2277.0,2149.67,2382.0,6,2023,20,981,30501,30501
373,2265.67,2124.0,2382.67,6,2023,19,981,30501,30501
374,2079.0,2000.0,2125.0,6,2023,18,981,30501,30501
375,2286.33,2163.33,2437.33,6,2023,16,981,30501,30501
376,2228.67,2106.67,2362.67,6,2023,15,981,30501,30501
377,2368.0,2120.0,2511.5,6,2023,14,981,30501,30501
378,2347.5,2135.5,2630.5,6,2023,13,981,30501,30501
379,2387.5,2138.0,2528.5,6,2023,12,981,30501,30501
380,2280.0,1830.0,2450.33,6,2023,9,981,30501,30501
381,2248.5,2150.0,2312.5,6,2023,8,981,30501,30501
382,2359.0,2150.0,2576.5,6,2023,7,981,30501,30501
383,2363.0,2120.5,2580.5,6,2023,6,981,30501,30501
384,2459.0,2245.5,2664.0,6,2023,5,981,30501,30501
385,2277.33,2088.67,2445.0,6,2023,2,981,30501,30501
386,2338.0,1950.0,2560.5,6,2023,1,981,30501,30501
387,2287.5,2100.0,2673.0,5,2023,31,981,30501,30501
388,2398.0,2030.5,2664.0,5,2023,30,981,30501,30501
389,2362.5,2150.5,2664.0,5,2023,29,981,30501,30501
390,2390.5,2152.5,2533.5,5,2023,26,981,30501,30501
391,2204.25,2043.75,2360.0,5,2023,25,981,30501,30501
392,2350.5,2166.0,2513.5,5,2023,24,981,30501,30501
393,2308.0,1920.0,2475.5,5,2023,23,981,30501,30501
394,2275.0,1960.0,2380.5,5,2023,22,981,30501,30501
395,2191.67,2071.67,2310.33,5,2023,19,981,30501,30501
396,2197.5,1889.0,2395.5,5,2023,18,981,30501,30501
397,2372.0,1999.67,2649.33,5,2023,17,981,30501,30501
398,2255.33,2010.0,2540.0,5,2023,16,981,30501,30501
399,2182.5,1985.0,2373.25,5,2023,15,981,30501,30501
400,2220.0,1980.0,2370.0,5,2023,13,981,30501,30501
401,2208.67,1955.33,2466.33,5,2023,12,981,30501,30501
402,2195.0,1860.67,2440.67,5,2023,11,981,30501,30501
403,2236.0,2067.5,2375.0,5,2023,10,981,30501,30501
404,2241.75,2005.25,2403.25,5,2023,9,981,30501,30501
405,2256.25,2073.0,2417.75,5,2023,8,981,30501,30501
406,2225.0,2092.0,2400.0,5,2023,7,981,30501,30501
407,2210.0,1950.0,2320.0,5,2023,6,981,30501,30501
408,2221.25,2058.25,2332.5,5,2023,4,981,30501,30501
409,2212.75,2010.25,2387.25,5,2023,3,981,30501,30501
410,2173.67,1908.33,2362.0,5,2023,2,981,30501,30501
411,2108.33,1940.67,2236.67,4,2023,28,981,30501,30501
412,2095.0,1888.25,2307.5,4,2023,27,981,30501,30501
413,2153.2,1917.2,2318.0,4,2023,26,981,30501,30501
414,2168.0,1920.0,2371.67,4,2023,25,981,30501,30501
415,2230.33,1999.67,2455.0,4,2023,24,981,30501,30501
416,2180.0,1970.0,2340.0,4,2023,22,981,30501,30501
417,2114.0,1787.75,2381.0,4,2023,21,981,30501,30501
418,2231.5,2010.0,2428.75,4,2023,20,981,30501,30501
419,2186.25,1928.75,2402.25,4,2023,19,981,30501,30501
420,2219.0,2007.5,2415.0,4,2023,18,981,30501,30501
421,2258.25,1948.0,2414.75,4,2023,17,981,30501,30501
422,2200.0,2010.0,2320.0,4,2023,15,981,30501,30501
423,2244.0,1897.5,2455.5,4,2023,13,981,30501,30501
424,2261.33,1933.67,2508.33,4,2023,12,981,30501,30501
425,2196.67,1977.33,2412.67,4,2023,11,981,30501,30501
426,2293.67,1802.0,2569.0,4,2023,10,981,30501,30501
427,2183.67,2047.67,2298.67,4,2023,8,981,30501,30501
428,2170.67,1809.0,2473.67,4,2023,7,981,30501,30501
429,2168.6,1994.4,2317.8,4,2023,6,981,30501,30501
430,2179.8,1934.0,2369.0,4,2023,5,981,30501,30501
431,2155.67,1770.33,2371.0,4,2023,4,981,30501,30501
432,2199.4,1962.0,2384.6,4,2023,3,981,30501,30501
